property,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,sqft_living15,sqft_lot15,lat,long,Date,year,month,day
5467900070,20140502,3.42E+05,3,2,1930,11947,1,0,0,4,8,1930,0,1966,0,98042,2200,12825,47.3672,-122.151,2014/5/2,2014,5,2
7197300105,20140502,5.50E+05,4,2.5,1940,10500,1,0,0,4,7,1140,800,1976,0,98052,2200,10500,47.683,-122.114,2014/5/2,2014,5,2
7525100520,20140502,3.35E+05,2,2,1350,2560,1,0,0,3,8,1350,0,1976,0,98052,1790,2560,47.6344,-122.107,2014/5/2,2014,5,2
2591720070,20140502,4.82E+05,4,2.5,2710,35868,2,0,0,3,9,2710,0,1989,0,98038,2780,36224,47.375,-122.022,2014/5/2,2014,5,2
7739100015,20140502,4.63E+05,3,1.75,1710,7320,1,0,0,3,7,1710,0,1948,0,98155,2260,8839,47.7512,-122.281,2014/5/2,2014,5,2
4217401055,20140502,1.40E+06,4,2.5,2920,4000,1.5,0,0,5,8,1910,1010,1909,0,98105,2470,4000,47.6578,-122.28,2014/5/2,2014,5,2
3390600010,20140502,3.65E+05,3,1,1090,6435,1,0,0,4,7,1090,0,1955,0,98106,1340,6435,47.5334,-122.365,2014/5/2,2014,5,2
4219400290,20140502,1.20E+06,5,2.75,2910,9480,1.5,0,0,3,8,2910,0,1939,0,98105,2940,6600,47.6552,-122.278,2014/5/2,2014,5,2
2618300080,20140502,2.43E+05,3,1.5,1200,9720,1,0,0,4,7,1200,0,1965,0,98042,1380,10284,47.4225,-122.153,2014/5/2,2014,5,2
3328500250,20140502,2.85E+05,4,2.5,2200,9397,2,0,0,3,8,2200,0,1987,0,98001,2310,9176,47.3406,-122.269,2014/5/2,2014,5,2
2011000010,20140502,2.58E+05,3,1.75,1370,5858,1,0,0,3,7,1370,0,1987,0,98198,1400,7500,47.3815,-122.313,2014/5/2,2014,5,2
776600130,20140502,2.75E+05,3,1.5,1180,10277,1,0,0,3,6,1180,0,1983,0,98045,1680,11104,47.488,-121.787,2014/5/2,2014,5,2
5652600185,20140502,7.50E+05,3,1.75,2240,10578,2,0,0,5,8,1550,690,1923,0,98115,1570,10578,47.6954,-122.292,2014/5/2,2014,5,2
1962200037,20140502,6.26E+05,3,2.25,1750,1572,2.5,0,0,3,9,1470,280,2005,0,98102,2410,3050,47.6498,-122.321,2014/5/2,2014,5,2
1088800850,20140502,6.13E+05,4,2.5,2730,12261,2,0,0,3,9,2730,0,1991,0,98011,2730,10872,47.7419,-122.205,2014/5/2,2014,5,2
472000620,20140502,7.90E+05,3,2.5,2600,4750,1,0,0,4,9,1700,900,1951,0,98117,2380,4750,47.6833,-122.4,2014/5/2,2014,5,2
3876200060,20140502,3.83E+05,4,1.75,1560,8700,1,0,0,4,7,1560,0,1967,0,98034,2080,8000,47.7274,-122.181,2014/5/2,2014,5,2
7305300695,20140502,6.25E+05,4,2.5,2820,8408,2,0,0,3,9,2820,0,2014,0,98155,1300,8408,47.7538,-122.325,2014/5/2,2014,5,2
3221059036,20140502,4.00E+05,4,2.5,3630,42884,1.5,0,0,3,9,2300,1330,1979,0,98092,2830,80148,47.2617,-122.19,2014/5/2,2014,5,2
1982201345,20140502,4.40E+05,2,1,800,4850,1,0,0,4,7,800,0,1944,0,98107,1150,4365,47.6639,-122.364,2014/5/2,2014,5,2
2025700730,20140502,2.87E+05,3,3,1850,19966,1,0,0,4,7,1090,760,1992,0,98038,1410,6715,47.3493,-122.034,2014/5/2,2014,5,2
5072200040,20140502,4.03E+05,3,2,1960,13100,1,0,2,5,8,1650,310,1957,0,98166,1960,10518,47.4419,-122.34,2014/5/2,2014,5,2
943100683,20140502,3.35E+05,3,2.25,1580,16215,1,0,0,4,7,1580,0,1978,0,98024,1450,16215,47.5643,-121.897,2014/5/2,2014,5,2
